QuestionID,Company,Role,Perspective,Difficulty,Topic,Question,Expected_Concepts,Keywords
AI063,Tech Mahindra,Data Engineer,AI/ML,Easy,Continual Learning,How do regularization-based approaches like Elastic Weight Consolidation (EWC) calculate parameter importance to mitigate catastrophic forgetting in deep networks?,Catastrophic forgetting;Elastic Weight Consolidation;Fisher Information Matrix;Continual learning;Weight regularization,"continual learning,ewc,catastrophic forgetting"
AI064,Flipkart,AI Engineer,AI/ML,Medium,Multi-Task Learning,Explain the negative transfer phenomenon in multi-task learning networks and how gradient surgery techniques like GradNorm or PCGrad mathematically eliminate it.,Negative transfer;GradNorm;PCGrad;Gradient conflict;Task-specific loss scaling,"multi-task learning,gradnorm,pcgrad,gradient optimization"
AI065,Swiggy,Data Scientist,AI/ML,Hard,Bayesian Deep Learning,How does Monte Carlo Dropout provide a variational approximation of a structural Bayesian Neural Network during inference evaluation cycles?,Monte Carlo Dropout;Bayesian Neural Network;Epistemic uncertainty;Variational inference;Predictive distribution,"bayesian deep learning,mc dropout,uncertainty estimation"
AI066,Zomato,Machine Learning Engineer,AI/ML,Easy,Object Tracking,Explain the architectural evolution from deep sort appearance descriptors to modern transformer-based global association structures in Multi-Object Tracking (MOT).,Multi-Object Tracking;Kalman Filtering;Data Association;Deep SORT;Trackers-by-detection,"computer vision,object tracking,deep sort,mot"
AI067,Paytm,Generative AI Engineer,AI/ML,Medium,Domain Adaptation,How do Domain-Adversarial Neural Networks (DANN) enforce feature invariance across distinct source and target distribution domains during training?,DANN;Domain classifier;Gradient Reversal Layer;Feature invariance;Covariate shift,"domain adaptation,dann,transfer learning,covariate shift"
AI068,PhonePe,Data Engineer,AI/ML,Hard,Hyperparameter Optimization,Explain the conceptual framework of Hyperband optimization and how it uses successive halving to outpace standard Bayesian Optimization routines.,Hyperband;Successive halving;Early stopping;Resource allocation;Bayesian optimization,"hyperparameter optimization,hyperband,automl"
AI069,Razorpay,AI Engineer,AI/ML,Easy,Vision-Language Models,How does the dual-encoder architecture of CLIP align distinct image and text modalities into a joint embedding space using symmetric cross-entropy loss optimizations?,CLIP;Dual-encoder framework;Joint embedding space;Symmetric contrastive loss;Multi-modal alignment,"clip,vlm,multimodal,embeddings"
AI070,Meesho,Data Scientist,AI/ML,Medium,Anomaly Detection,"Why do classic autoencoders struggle with reconstruction-based anomaly detection when anomalies present high structural similarity to normal patterns, and how do memory-augmented autoencoders solve this?",Reconstruction error;Memory-augmented autoencoder;Anomaly detection;Latent space representation;Identity mapping bypass,"anomaly detection,autoencoder,unsupervised learning"
AI071,Google,Machine Learning Engineer,AI/ML,Hard,Data Privacy,Explain the mathematical concept of epsilon-differential privacy ($\epsilon$-DP) and how adding Gaussian or Laplacian noise to gradients alters the privacy budget during model training.,Differential privacy;Privacy budget;Laplacian noise;Gaussian mechanism;DP-SGD,"differential privacy,data privacy,security,dpsgd"
AI072,Microsoft,Generative AI Engineer,AI/ML,Easy,Robustness and Adversarial ML,Explain the optimization objective of the Projected Gradient Descent (PGD) adversarial attack methodology and how it forms a universal first-order adversary.,PGD attack;Adversarial perturbation;Fast Gradient Sign Method;Adversarial robustness;Inf-norm constraint,"adversarial ml,pgd,robustness,security"
AI073,Amazon,Data Engineer,AI/ML,Medium,Time Series Segmentation,How do matrix profile algorithms like STUMPY identify structural regimes and recurring motifs within long continuous un-annotated time-series streams?,Matrix Profile;Time Series Motifs;Regime Detection;Distance Profile;Nearest Neighbor Subsequences,"time series,matrix profile,motif discovery,analytics"
AI074,Meta,AI Engineer,AI/ML,Hard,Semi-Supervised Learning,Describe the operational mechanics of pseudo-labeling and consistency regularization paradigms in modern semi-supervised frameworks like MatchGrad or FixMatch.,FixMatch;Pseudo-labeling;Consistency regularization;Confidence thresholding;Weak vs strong augmentation,"semi-supervised,fixmatch,pseudo-labeling,ssl"
AI075,Apple,Data Scientist,AI/ML,Easy,Graph Representation Learning,"What is the structural difference between Node2Vec and DeepWalk regarding graph exploration strategies, and how do return and in-out parameters balance macro- versus micro-view embeddings?",Node2Vec;DeepWalk;Random walk exploration;BFS vs DFS;Graph embeddings,"node2vec,graph embeddings,deepwalk,gnn"
AI076,Netflix,Machine Learning Engineer,AI/ML,Medium,Energy-Based Models,Explain the concept of an energy function in Energy-Based Models (EBMs) and why contrastive divergence or MCMC sampling is needed to approximate the partition function.,Energy function;Partition function;Contrastive divergence;MCMC sampling;Unnormalized probability density,"ebm,energy based models,mcmc,generative models"
AI077,NVIDIA,Generative AI Engineer,AI/ML,Hard,Speech Recognition,Explain the alignment problem in automated speech recognition and how Connectionist Temporal Classification (CTC) loss utilizes blank tokens to align unsegmented audio frames with text sequences.,CTC loss;Alignment problem;Blank tokens;Many-to-one mapping;Dynamic programming,"speech recognition,ctc loss,audio ml,nlp"
AI078,Adobe,Data Engineer,AI/ML,Easy,Clustering at Scale,Explain the architectural mechanics of the BIRCH clustering algorithm and how its clustering feature tree handles millions of high-dimensional points under strict memory limits.,BIRCH clustering;Clustering Feature tree;Memory constraint scalability;Hierarchical clustering;Outlier rejection,"clustering,birch,unsupervised learning,big data"
AI079,Oracle,AI Engineer,AI/ML,Medium,Zero-Shot Learning,How do semantic attribute spaces or word vectors bridge the gap between seen classes and completely unseen classes in visual zero-shot learning frameworks?,Zero-shot learning;Semantic attribute space;Knowledge transfer;Seen vs unseen classes;Visual-semantic projection,"zero-shot,transfer learning,computer vision"
AI080,Salesforce,Data Scientist,AI/ML,Hard,Model Compression,What is the structural difference between structured pruning and unstructured pruning of deep neural network weights regarding hardware deployment and inference acceleration capabilities?,Structured pruning;Unstructured pruning;Weight sparsity;Inference acceleration;Hardware matrix multiplication acceleration,"pruning,model compression,sparsity,inference speed"
