QuestionID,Company,Role,Perspective,Difficulty,Topic,Question,Expected_Concepts,Keywords
AI034,Microsoft,Data Engineer,AI/ML,Easy,Feature Engineering,"How do target encoding transformations introduce subtle data leakage risks in cross-validation setups, and what specific smoothing methods counteract this problem?",Target Encoding;Data Leakage;Out-of-fold Encoding;Bayesian Smoothing;Cross-Validation,"feature engineering,target encoding,data leakage,machine learning"
AI035,Amazon,Generative AI Engineer,AI/ML,Medium,Model Evaluation,"When dealing with extreme target class imbalances, why can the Area Under the Precision-Recall Curve serve as a more reliable metric than the ROC-AUC score?",Precision-Recall Curve;ROC-AUC;Class Imbalance;True Negative Rate;Classifier Calibration,"model evaluation,auc,precision,recall,metrics"
AI036,Meta,Machine Learning Engineer,AI/ML,Hard,Prompt Engineering,"What is the cognitive and cognitive-computational rationale behind Chain-of-Thought prompting strategies, and how does it dynamically leverage token computational generation spaces?",Chain-of-Thought;Autoregressive Generation;Hidden State Intermediates;In-Context Learning;Prompt Design,"prompt engineering,chain of thought,llm,in-context learning"
AI037,Apple,Data Scientist,AI/ML,Easy,Embeddings,How do contrastive learning loss designs like InfoNCE optimize sentence embedding spaces during unsupervised semantic text similarity metric configurations?,Contrastive Learning;InfoNCE Loss;Sentence Embeddings;Semantic Similarity;Negative Sampling,"embeddings,contrastive learning,infonce,nlp"
AI038,Netflix,AI Engineer,AI/ML,Medium,Natural Language Processing,"Explain the architectural mechanics of Byte-Pair Encoding algorithms, and how they gracefully resolve out-of-vocabulary constraints in generative text modeling.",Byte-Pair Encoding;Tokenization;Subword Vocabulary;Out-of-Vocabulary;Text Tokenization,"nlp,tokenization,bpe,text processing"
AI039,NVIDIA,Data Engineer,AI/ML,Hard,Deep Learning,"What structural elements cause vanishing gradients inside deeply stacked network topologies, and how do residual skip connections analytically repair the gradient flow paths?",Vanishing Gradient;Residual Connections;Gradient Highway;Identity Mapping;Backpropagation Matrix Multiplication,"deep learning,gradients,resnet,neural networks"
AI040,Adobe,Generative AI Engineer,AI/ML,Easy,Machine Learning,Explain the theoretical bias-variance decomposition of mean squared error and how specific L1 and L2 regularization choices geometrically compress the model parameters space.,Bias-Variance Decomposition;L1 Regularization;L2 Regularization;Sparsity Constraint;Overfitting Control,"machine learning,regularization,bias variance,optimization"
AI041,Oracle,Machine Learning Engineer,AI/ML,Medium,Transformers,"Explain why Transformers use Multi-Head Attention instead of a single large attention head, and how does it affect feature subspace representation?",Multi-Head Attention;Feature Subspaces;Attention Scaling;Orthogonality;Representation Learning,"transformers,attention,deep learning,multi-head attention"
AI042,Salesforce,Data Scientist,AI/ML,Hard,Retrieval-Augmented Generation (RAG),Describe how to handle semantic chunking strategy trade-offs when dealing with documents containing dense tables and hierarchical headers in a RAG pipeline?,Retrieval-Augmented Generation;Semantic Chunking;Chunk Overlap;Hierarchical Parsing;Metadata Filtering,"rag,embeddings,vector database,llm"
AI043,IBM,AI Engineer,AI/ML,Easy,Large Language Models,Explain the architectural advantages and trade-offs of using Rotary Position Embeddings (RoPE) compared to absolute positional encodings in modern LLMs.,Rotary Position Embeddings;Positional Encoding;Context Length Extrapolation;Attention Matrix;Relative Distance,"llm,rope,positional encoding,transformers"
AI044,Intel,Data Engineer,AI/ML,Medium,Fine-tuning,"What is the mathematical rationale behind using low-rank matrices in LoRA, and how do you determine the optimal rank value parameter configuration?",Low-Rank Adaptation;Intrinsic Rank;Weight Update Matrix;Parameter Efficiency;Singular Value Decomposition,"lora,fine-tuning,peft,llm"
AI045,Cisco,Generative AI Engineer,AI/ML,Hard,Vector Databases,Compare the performance and recall trade-offs of HNSW index structures versus IVF-PQ vector index quantizations during massive scale nearest-neighbor searches.,Hierarchical Navigable Small World;Inverted File Product Quantization;Approximate Nearest Neighbors;Recall-Latency Trade-off;Vector Quantization,"vector database,hnsw,ivfpq,ann,embeddings"
AI046,Accenture,Machine Learning Engineer,AI/ML,Easy,Computer Vision,How does the anchor-free architecture of modern object detection models eliminate design limitations introduced by traditional anchor-based frameworks?,Anchor-Free Detection;Object Detection;Bounding Box Regression;Feature Pyramid Networks;Centerness Loss,"computer vision,object detection,cnn,deep learning"
AI047,Deloitte,Data Scientist,AI/ML,Medium,Recommendation Systems,How do deep learning recommendation architectures handle cold-start entities using multi-modal side-information features without destabilizing the embedding matrix spaces?,Deep Recommendation;Cold-Start;Embedding Regularization;Side Information;Two-Tower Models,"recommendation systems,embeddings,deep learning,dlrm"
AI048,EY,AI Engineer,AI/ML,Hard,MLOps,What specific metrics and statistical tests would you use to distinguish between sudden feature pipeline drift and gradual real-world target concept drift over time?,Feature Drift;Concept Drift;Kolmogorov-Smirnov Test;Population Stability Index;Data Monitoring,"mlops,data drift,concept drift,monitoring"
AI049,PwC,Data Engineer,AI/ML,Easy,Model Deployment,"How do KV caching memory strategies affect inference batch size dynamics, throughput optimizations, and hardware constraint scaling for serving autoregressive LLMs?",KV Caching;Autoregressive Inference;Memory Bandwidth Bound;PagedAttention;Inference Throughput,"model deployment,kv cache,llm,inference"
AI050,KPMG,Generative AI Engineer,AI/ML,Medium,Explainable AI,"Explain the axiom of Efficiency in Shapley values, and why Integrated Gradients satisfies certain theoretical properties that standard saliency maps fail to preserve.",Shapley Values;Integrated Gradients;Axiomatic Attribution;Saliency Maps;Model Interpretability,"explainable ai,shap,integrated gradients,deep learning"
