QuestionID,Company,Role,Perspective,Difficulty,Topic,Question,Expected_Concepts,Keywords
HR034,Microsoft,Business Analyst,HR,Medium,Salary Expectations,How do you approach salary discussions?,Salary Expectations;Negotiation;Professional Values;Career Growth,"salary,negotiation,career"
HR035,Amazon,Product Manager,HR,Easy,Relocation,Would you be willing to relocate for this role?,Relocation;Adaptability;Flexibility;Career Goals,"relocation,adaptability,flexibility"
HR036,Meta,UI/UX Designer,HR,Hard,Work Culture,What type of work culture helps you thrive?,Work Culture;Motivation;Professional Values;Teamwork,"work culture,motivation,teamwork"
HR037,Apple,Software Engineer,HR,Medium,Career Growth,How do you plan to grow in this role?,Career Growth;Learning;Motivation;Professional Values,"career growth,learning,motivation"
HR038,Netflix,Backend Developer,HR,Easy,Learning,What new skills have you learned recently?,Learning;Growth Mindset;Adaptability;Professional Values,"learning,growth,adaptability"
HR039,NVIDIA,Frontend Developer,HR,Hard,Work-Life Balance,How do you balance personal and professional commitments?,Work-Life Balance;Time Management;Stress Management;Professional Values,"work-life balance,time management,stress"
HR040,Adobe,Full Stack Developer,HR,Medium,Teamwork,How do you contribute to team success?,Teamwork;Collaboration;Communication;Professional Values,"teamwork,collaboration,success"
HR041,Oracle,Data Scientist,HR,Easy,Leadership Potential,What qualities make you a potential leader?,Leadership Potential;Motivation;Decision Making;Professional Values,"leadership,qualities,motivation"
HR042,Salesforce,Machine Learning Engineer,HR,Hard,Conflict Handling,Describe a time you resolved a workplace conflict.,Conflict Handling;Communication;Negotiation;Empathy,"conflict,communication,negotiation"
HR043,IBM,Data Engineer,HR,Medium,Adaptability,How do you adapt to new tools or processes?,Adaptability;Learning;Flexibility;Resilience,"adaptability,learning,flexibility"
HR044,Intel,Cloud Engineer,HR,Easy,Achievements,What achievement best demonstrates your skills?,Achievements;Motivation;Career Growth;Professional Values,"achievements,skills,career"
HR045,Cisco,DevOps Engineer,HR,Hard,Failure,How do you handle failure and setbacks?,Failure;Resilience;Learning;Adaptability,"failure,resilience,learning"
HR046,Accenture,Business Analyst,HR,Easy,Problem Solving,How do you approach troubleshooting an unfamiliar procedural business bottleneck?,Problem Solving;Critical Thinking;Analytical Skills;Communication,"problem solving,analysis,bottleneck"
HR047,Deloitte,Product Manager,HR,Medium,Prioritization,How do you handle cross-functional feature updates when developers and designers disagree on timelines?,Prioritization;Time Management;Conflict Handling;Negotiation,"prioritization,cross-functional,negotiation"
HR048,EY,UI/UX Designer,HR,Hard,Feedback,How do you respond when a client criticizes an interface choice backed by solid user metrics?,Feedback;Resilience;Professionalism;Communication;Stakeholder Management,"feedback,client management,ux design"
HR049,PwC,Software Engineer,HR,Medium,Stress Management,Describe how you stay productive and maintain operational focus when project timelines shrink unexpectedly.,Stress Management;Time Management;Adaptability;Resilience,"stress,timeline,productivity"
HR050,KPMG,Backend Developer,HR,Hard,Ethics,How would you handle a situation where you discovered a critical but hidden privacy risk in a legacy data scheme?,Ethics;Integrity;Accountability;Risk Management;Ownership,"ethics,privacy,risk"
