QuestionID,Company,Role,Perspective,Difficulty,Topic,Question,Expected_Concepts,Keywords
13,Cisco,Cybersecurity Analyst,Technical,Medium,Network Security,"Explain the operational mechanics of a Distributed Denial of Service (DDoS) Amplification Attack utilizing DNS or NTP protocols, and how to mitigate it.",Amplification Attack;DNS Reflection;IP Spoofing;Rate Limiting;Network Mitigation,"Cybersecurity, DDoS, DNS Amplification, Network Security, Mitigation"
14,Accenture,Business Analyst,Technical,Easy,Requirements Gathering,What techniques do you use to map out a client's legacy business processes and identify bottlenecks during an enterprise-wide digital transformation discovery phase?,Process Mapping;Gap Analysis;Stakeholder Interviews;Bottleneck Identification;Digital Transformation,"Business Analysis, Process Mapping, Requirement Gathering, Gap Analysis"
15,Deloitte,Data Analyst,Technical,Medium,Data Quality,"How do you detect, evaluate, and handle systematic missingness (such as Missing Not at Random vs. Missing Completely at Random) in an enterprise compliance dataset?",MCAR;MNAR;Data Imputation;Bias Mitigation;Data Cleaning,"Data Analyst, Data Quality, Missing Data, Statistics, Imputation"
16,EY,Product Manager,Technical,Medium,Product Strategy,How do you define and evaluate success metrics for migrating a complex B2B financial compliance platform from a legacy on-premise system to a SaaS model?,SaaS metrics;Migration risk;Product adoption;Churn rate;Value proposition,"Product Management, KPIs, B2B, SaaS, Migration"
17,PwC,BI Developer,Technical,Medium,Data Modeling,Explain the structural and performance differences between a Star Schema and a Snowflake Schema in an enterprise business intelligence data warehouse environment.,Star Schema;Snowflake Schema;Normalization;Dimension tables;Fact tables,"BI, Data Modeling, Star Schema, Snowflake, Data Warehouse"
18,KPMG,Automation Test Engineer,Technical,Medium,Test Automation Strategy,How do you structure a hybrid test automation framework to support multi-platform application testing while maintaining clean separation between test logic and UI elements?,Page Object Pattern;Data-Driven Testing;Hybrid Framework;Separation of Concerns;Test Maintainability,"QA, Automation, Hybrid Framework, Page Object Model, Test Strategy"
19,Infosys,Java Developer,Technical,Medium,Java Memory Management,Explain how the G1 Garbage Collector partitions memory heaps and works to guarantee low latency pauses in highly scalable enterprise applications.,G1 Garbage Collector;Memory compaction;Heap allocation;Pause time targets;Generational collection,"Java, JVM, Garbage Collection, G1GC, Memory Management"
20,TCS,Full Stack Developer,Technical,Medium,Web Architecture,"Compare REST architecture and GraphQL regarding network payloads, over-fetching/under-fetching problems, and client-side caching strategies.",GraphQL;RESTful API;Over-fetching;Data caching;Network roundtrips,"Full Stack, API Design, GraphQL, REST, Caching"
21,Wipro,QA Engineer,Technical,Easy,Testing Methodology,"What is the fundamental difference between Boundary Value Analysis and Equivalence Partitioning, and how do they reduce the overall test suite volume?",Boundary Value Analysis;Equivalence Partitioning;Black-box testing;Test optimization;Defect localization,"QA, Software Testing, Boundary Value, Equivalence Class, Test Cases"
22,HCLTech,Python Developer,Technical,Medium,Concurrency,"How does the Global Interpreter Lock (GIL) impact multi-threaded performance in Python, and when should you choose multiprocessing over multithreading?",Global Interpreter Lock;Multiprocessing;Multithreading;CPU-bound vs IO-bound;Asynchronous programming,"Python, GIL, Multithreading, Concurrency, Parallelism"
23,Capgemini,Cloud Engineer,Technical,Medium,Cloud Migration,Explain the design trade-offs between 'Lift and Shift' (Rehosting) and 'Refactoring' (Re-architecting) when migrating enterprise legacy backends to public clouds.,Cloud migration;Rehosting vs Refactoring;Technical debt;Cloud-native architecture;Total cost of ownership,"Cloud, Migration, Lift and Shift, Microservices, Architecture"
24,Cognizant,UI/UX Designer,Technical,Medium,Design Systems,How do you establish typographic scales and tokenized design components to ensure seamless accessibility and visual consistency across responsive multi-device digital platforms?,Design Tokens;Typographic Hierarchy;Accessibility (WCAG);Responsive Design;Component Design,"UI/UX, Design System, Accessibility, Typography, Figma"
25,Tech Mahindra,DevOps Engineer,Technical,Hard,Container Orchestration,"How does Kubernetes handle networking internally between Pods across different nodes, and what is the role of a Container Network Interface (CNI)?",Kubernetes networking;CNI plugins;Pod-to-Pod communication;Overlay networks;Kube-proxy,"Kubernetes, CNI, DevOps, Microservices, Container Networking"
26,Flipkart,Backend Developer,Technical,Hard,Distributed Systems,"During high-traffic events like flash sales, how do you manage race conditions and enforce strict inventory consistency without deadlocking your distributed relational database?",Distributed locks;Optimistic concurrency control;Pessimistic locking;Inventory management;Race conditions,"Backend, Distributed Systems, Concurrency, Flash Sale, Scalability"
27,Swiggy,System Architect,Technical,Hard,Geospatial Indexing,How do geospatial indexing systems like Uber's H3 or Google's S2 assist an on-demand delivery architecture in efficiently querying and matching drivers to orders in real-time?,Geospatial Indexing;H3 Hexagons;Spatial Queries;Real-time Dispatch;Proximity Search,"Geospatial, Architecture, H3, Real-time Systems, Matching Algorithm"
28,Zomato,Data Scientist,Technical,Medium,Experimentation,How do you design a robust A/B testing experiment for a hyper-local marketplace app when network effects risk spilling variants from treated entities onto control groups?,A/B Testing;Network Spillovers;Cluster Randomization;Statistical Power;Interference,"Data Science, A/B Testing, Experimentation, Network Effects, Analytics"
29,Paytm,Security Engineer,Technical,Hard,Payment Cryptography,Explain the architectural setup and protocols required to achieve PCI-DSS tokenization compliance for sensitive credit and debit card holder data within a financial system.,PCI-DSS compliance;Tokenization vault;Data encryption;HSM modules;Transport Layer Security,"Fintech, Security, Tokenization, PCI-DSS, Cryptography"
30,PhonePe,Software Engineer,Technical,Hard,Idempotency,How do you guarantee strict API idempotency across multiple asynchronous network retries for digital wallet transactions to prevent double-deduction faults?,Idempotency Keys;Unique Constraints;Distributed Transactions;At-most-once Delivery;API Design,"Fintech, Idempotency, API Design, Distributed Systems, Transaction Safety"
31,Razorpay,Product Manager,Technical,Medium,API Product Strategy,"How do you structure API error handling, documentation onboarding, and version deprecation timelines to maximize developer retention and developer experience (DX)?",Developer Experience;API Versioning;Error Handling Framework;Product Strategy;Backwards Compatibility,"Product Management, Developer Experience, API Product, Versioning"
32,Meesho,Data Analyst,Technical,Medium,User Cohort Analytics,How do you differentiate between retention drop-offs caused by seasonal purchasing variations versus deep-seated product usability friction using cohort behavioral metrics?,Cohort Analysis;Retention Curves;Seasonality Decomposition;Product Analytics;Churn Prediction,"Data Analyst, Cohort Analysis, User Retention, E-commerce, Analytics"
33,Google,Software Engineer,Technical,Hard,Distributed Systems,"Explain how the Paxos consensus algorithm guarantees safety and consensus across a distributed, partitioned system despite message loss or reordering.",Paxos Consensus;Quorums;Split-Brain Problem;State Machine Replication;Distributed Safety,"Distributed Systems, Consensus, Paxos, Fault Tolerance, Backend"
34,Microsoft,Data Scientist,Technical,Hard,Deep Learning Theory,"What is the structural cause of the vanishing and exploding gradient problems in deep neural networks, and how do techniques like gradient clipping and residual connections solve them?",Vanishing Gradient;Exploding Gradient;Residual Connections;Gradient Clipping;Backpropagation Matrix Multiplication,"Data Science, Deep Learning, Optimization, Backpropagation, ResNet"
35,Amazon,Machine Learning Engineer,Technical,Hard,MLOps,"How do you identify data drift and concept drift in a deployed production pricing model, and what strategies dictate an automated retraining schedule?",Data Drift;Concept Drift;Population Stability Index;Model Monitoring;Automated Retraining,"MLOps, Data Drift, Concept Drift, Production ML, Monitoring"
36,Meta,Frontend Developer,Technical,Hard,Web Performance,How does server-side rendering (SSR) combined with incremental static regeneration (ISR) optimize Core Web Vitals like Largest Contentful Paint (LCP) and Cumulative Layout Shift (CLS)?,Server-side Rendering;Incremental Static Regeneration;Core Web Vitals;Largest Contentful Paint;Cumulative Layout Shift,"Frontend, Web Performance, Core Web Vitals, SSR, Next.js"
37,Apple,Data Analyst,Technical,Easy,Statistical Inferences,"Explain the difference between Type I and Type II statistical errors, and how a product analyst evaluates the business trade-offs of shifting significance thresholds.",Type I Error;Type II Error;Statistical Power;Significance Level;Alpha and Beta Thresholds,"Data Analyst, Statistics, Hypothesis Testing, Significance, Analytics"
38,Netflix,Backend Developer,Technical,Hard,Streaming Protocols,How do dynamic adaptive streaming protocols like DASH and HLS adjust segment bitrates dynamically based on fluctuations in edge-network client throughput?,MPEG-DASH;HTTP Live Streaming;Bitrate Adaptation;Video Chunking;Network Throughput Estimation,"Streaming, Video Architecture, HLS, DASH, Backend"
39,NVIDIA,AI Engineer,Technical,Hard,Model Quantization,Explain the structural difference between Post-Training Quantization (PTQ) and Quantization-Aware Training (QAT) when compressing deep learning models to INT8 precision.,Post-Training Quantization;Quantization-Aware Training;INT8 Precision;Calibration datasets;Straight-Through Estimator,"NVIDIA, Quantization, Edge AI, Model Compression, TensorRT"
40,Adobe,Product Manager,Technical,Medium,Product Discovery,"How do you prioritize a product backlog containing conflicting technical debt improvements, feature additions, and security compliance items using frameworks like RICE?",RICE Framework;Product Prioritization;Technical Debt;Feature Backlog;Stakeholder Trade-offs,"Product Management, RICE, Product Backlog, Technical Debt, Roadmap"
41,Oracle,Cloud Engineer,Technical,Medium,Cloud Storage Systems,"Compare block storage, file storage, and object storage systems regarding latency, data accessibility mechanisms, and horizontal scalability limitations.",Block Storage;Object Storage;Network File Systems;Latency Profiles;Scalability Limitations,"Cloud Infrastructure, Storage Systems, Object Storage, Block Storage, SAN"
42,Salesforce,Business Analyst,Technical,Easy,Data Mapping,How do you create an exhaustive data dictionary and entities relationship diagram (ERD) when aligning disparate legacy target data into a central CRM repository?,Entity Relationship Diagram;Data Dictionary;Data Mapping;Data Governance;Schema Alignment,"Business Analysis, ERD, CRM, Data Mapping, Requirements"
43,IBM,Cybersecurity Analyst,Technical,Hard,Cryptography,"How do public-key infrastructure (PKI) frameworks issue, validate, and revoke digital certificates to prevent Man-in-the-Middle (MitM) interceptions?",Public Key Infrastructure;Certificate Authority;Asymmetric Encryption;Certificate Revocation Lists;Digital Signatures,"Security, PKI, Cryptography, MitM, Certificates"
44,Intel,Software Engineer,Technical,Medium,Compiler Design,"What is the structural difference between Just-In-Time (JIT) compilation and Ahead-Of-Time (AOT) compilation, and how do they balance startup overhead against runtime performance?",JIT compilation;AOT compilation;Runtime optimization;Dynamic profile analysis;Startup execution speed,"Compiler, JIT, AOT, Performance Optimization, Systems Programming"
45,Cisco,Automation Test Engineer,Technical,Medium,API Testing Architecture,How do you design an enterprise-level contract testing framework using tools like Pact to validate API microservice integrations asynchronously?,Contract Testing;Pact Framework;Consumer-Driven Contracts;API Endpoints Integration;Microservices Testing,"QA, Contract Testing, Pact, API Automation, Microservices"
46,Accenture,BI Developer,Technical,Medium,ETL Architecture,"Explain the architectural shifts, resource consumption profiles, and data warehouse impacts when transitioning from standard ETL to modern ELT paradigms.",ETL vs ELT;Data Transformation;Cloud Data Warehousing;Compute-Storage Decoupling;Data Loading Patterns,"BI, ETL, ELT, Data Integration, Snowflake"
47,Deloitte,UI/UX Designer,Technical,Medium,User Research,How do you analyze heuristic evaluation outcomes and usability testing metrics to structure a data-informed user flow overhaul for complex financial ERPs?,Heuristic Evaluation;Usability Testing;User Flow Optimization;ERP System Usability;Quantitative User Metrics,"UI/UX, Heuristic Evaluation, Usability Testing, ERP, User Flow"
48,EY,Data Engineer,Technical,Hard,Stream Processing,"Explain how distributed real-time processing stream systems handle late-arriving data packets using watermarks, event time, and processing time paradigms.",Watermarking;Event Time vs Processing Time;Late-Arriving Data;Windowing Functions;Distributed Stream Processing,"Data Engineering, Apache Flink, Streaming, Watermarks, Big Data"
49,PwC,Generative AI Engineer,Technical,Hard,Retrieval-Augmented Generation,How do you mitigate vector search cross-encoder latency trade-offs while designing an enterprise Retrieval-Augmented Generation (RAG) platform with multi-stage ranking?,Retrieval-Augmented Generation;Bi-encoders vs Cross-encoders;Vector Embeddings;Semantic Search;Reranking Pipeline,"Generative AI, RAG, Vector Search, Semantic Search, Re-ranking"
50,Swiggy,Full Stack Developer,Technical,Medium,Distributed Caching,"What strategies govern cache-aside, write-through, and write-behind caching models, and how do they impact data stale thresholds during heavy inventory write operations?",Cache-aside model;Write-through cache;Write-behind cache;Cache eviction policies;Data eventual consistency,"Full Stack, Redis, Caching Patterns, Database Consistency, System Design"
