QuestionID,Company,Role,Perspective,Difficulty,Topic,Question,Expected_Concepts,Keywords
46,Accenture,BI Developer,Technical,Medium,ETL Architecture,"Explain the architectural shifts, resource consumption profiles, and data warehouse impacts when transitioning from standard ETL to modern ELT paradigms.",ETL vs ELT;Data Transformation;Cloud Data Warehousing;Compute-Storage Decoupling;Data Loading Patterns,"BI, ETL, ELT, Data Integration, Snowflake"
BH006,Netflix,Machine Learning Engineer,Behavioral,Hard,Innovation,Give an example of how you introduced an innovative solution to a challenging problem.,Innovation;Creativity;Problem Solving;Initiative,"innovation,creativity,problem solving"
11,IBM,Data Scientist,Technical,Medium,Model Interpretability,What is the core mathematical difference between SHAP (Shapley Additive exPlanations) and LIME in explaining the predictions of a complex black-box model?,SHAP;LIME;Shapley values;Local surrogate models;Model interpretability,"Data Science, Explainable AI, SHAP, LIME, Model Evaluation"
31,Razorpay,Product Manager,Technical,Medium,API Product Strategy,"How do you structure API error handling, documentation onboarding, and version deprecation timelines to maximize developer retention and developer experience (DX)?",Developer Experience;API Versioning;Error Handling Framework;Product Strategy;Backwards Compatibility,"Product Management, Developer Experience, API Product, Versioning"
SD021,Wipro,DevOps Engineer,System Design,Medium,Azure,How would you design a CI/CD pipeline using Azure DevOps?,Azure;CI/CD;Automation;Scalability,"azure,ci/cd,devops"
AI002,Microsoft,Data Scientist,AI/ML,Medium,Retrieval-Augmented Generation (RAG),Describe how to handle semantic chunking strategy trade-offs when dealing with documents containing dense tables and hierarchical headers in a RAG pipeline?,Retrieval-Augmented Generation;Semantic Chunking;Chunk Overlap;Hierarchical Parsing;Metadata Filtering,"rag,embeddings,vector database,llm"
34,Microsoft,Data Scientist,Technical,Hard,Deep Learning Theory,"What is the structural cause of the vanishing and exploding gradient problems in deep neural networks, and how do techniques like gradient clipping and residual connections solve them?",Vanishing Gradient;Exploding Gradient;Residual Connections;Gradient Clipping;Backpropagation Matrix Multiplication,"Data Science, Deep Learning, Optimization, Backpropagation, ResNet"
SD042,Salesforce,Backend Developer,System Design,Hard,Consistency Models,How would you design strong consistency for CRM systems?,Consistency Models;Strong Consistency;Replication;Latency,"consistency,crm,strong"
AI020,TCS,Generative AI Engineer,AI/ML,Medium,Machine Learning,Explain the theoretical bias-variance decomposition of mean squared error and how specific L1 and L2 regularization choices geometrically compress the model parameters space.,Bias-Variance Decomposition;L1 Regularization;L2 Regularization;Sparsity Constraint;Overfitting Control,"machine learning,regularization,bias variance,optimization"
26,Flipkart,Backend Developer,Technical,Hard,Distributed Systems,"During high-traffic events like flash sales, how do you manage race conditions and enforce strict inventory consistency without deadlocking your distributed relational database?",Distributed locks;Optimistic concurrency control;Pessimistic locking;Inventory management;Race conditions,"Backend, Distributed Systems, Concurrency, Flash Sale, Scalability"
SD012,Intel,Cloud Engineer,System Design,Medium,Replication,How would you design replication for a global database?,Replication;Consistency Models;Latency;High Availability,"replication,databases,global"
19,Infosys,Java Developer,Technical,Medium,Java Memory Management,Explain how the G1 Garbage Collector partitions memory heaps and works to guarantee low latency pauses in highly scalable enterprise applications.,G1 Garbage Collector;Memory compaction;Heap allocation;Pause time targets;Generational collection,"Java, JVM, Garbage Collection, G1GC, Memory Management"
HR047,Deloitte,Product Manager,HR,Medium,Prioritization,How do you handle cross-functional feature updates when developers and designers disagree on timelines?,Prioritization;Time Management;Conflict Handling;Negotiation,"prioritization,cross-functional,negotiation"
HR031,Razorpay,Data Engineer,HR,Medium,Motivation,What motivates you to work in the fintech industry?,Motivation;Career Goals;Professional Values;Industry Fit,"motivation,fintech,career"
HR010,Salesforce,Business Analyst,HR,Medium,Work Culture,Describe your ideal work environment.,Work Culture;Communication;Teamwork;Professional Values,"work culture,environment,teamwork"
SD019,Infosys,Full Stack Developer,System Design,Medium,Disaster Recovery,How would you design disaster recovery for a cloud-based system?,Disaster Recovery;Backups;Replication;Failover,"disaster recovery,cloud,replication"
BH047,Deloitte,Product Manager,Behavioral,Hard,Conflict Resolution,Explain how you managed a major dispute between the engineering and design leads regarding product delivery trade-offs.,Conflict Resolution;Negotiation;Empathy;Product Strategy,"conflict resolution,product roadmap,engineering"
SD009,Oracle,Software Engineer,System Design,Medium,Databases,How would you decide between SQL and NoSQL for a new application?,SQL vs NoSQL;Consistency;Scalability;Data Modeling,"databases,sql,nosql"
HR036,Meta,UI/UX Designer,HR,Hard,Work Culture,What type of work culture helps you thrive?,Work Culture;Motivation;Professional Values;Teamwork,"work culture,motivation,teamwork"
AI053,Deloitte,Data Engineer,AI/ML,Hard,Federated Learning,How does the Federated Averaging (FedAvg) algorithm address non-IID (independent and identically distributed) data across edge devices during decentralized training?,FedAvg;Non-IID data;Client drift;Weight aggregation;Privacy-preserving ML,"federated learning,privacy,edge ai,fedavg"
17,PwC,BI Developer,Technical,Medium,Data Modeling,Explain the structural and performance differences between a Star Schema and a Snowflake Schema in an enterprise business intelligence data warehouse environment.,Star Schema;Snowflake Schema;Normalization;Dimension tables;Fact tables,"BI, Data Modeling, Star Schema, Snowflake, Data Warehouse"
SD047,Deloitte,Data Engineer,System Design,Medium,Databases,How would you structure a data tier to handle both intensive operational transactions and analytical workloads simultaneously?,HTAP;Read Replicas;CQRS;Data Isolation;OLAP vs OLTP,"databases,data tier,analytics"
BH020,TCS,Cloud Engineer,Behavioral,Easy,Initiative,Share an example of when you took initiative to improve a process.,Initiative;Innovation;Ownership;Problem Solving,"initiative,innovation,ownership"
HR024,Cognizant,UI/UX Designer,HR,Hard,Long-Term Vision,What is your long-term vision for your career?,Long-Term Vision;Career Goals;Motivation;Professional Growth,"long-term vision,career,motivation"
39,NVIDIA,AI Engineer,Technical,Hard,Model Quantization,Explain the structural difference between Post-Training Quantization (PTQ) and Quantization-Aware Training (QAT) when compressing deep learning models to INT8 precision.,Post-Training Quantization;Quantization-Aware Training;INT8 Precision;Calibration datasets;Straight-Through Estimator,"NVIDIA, Quantization, Edge AI, Model Compression, TensorRT"
SD033,Google,Software Engineer,System Design,Hard,Sharding,How would you design sharding for a social media database?,Sharding;Partitioning;Scalability;Consistency,"sharding,social media,databases"
AI056,KPMG,Machine Learning Engineer,AI/ML,Hard,Neural Radiance Fields (NeRF),"How do Neural Radiance Fields map 5D coordinates to color and density representations, and why is positional encoding necessary for capturing high-frequency details?",NeRF;Volume rendering;5D coordinate mapping;High-frequency fields;Ray marching,"nerf,computer vision,3d reconstruction,graphics"
AI069,Razorpay,AI Engineer,AI/ML,Easy,Vision-Language Models,How does the dual-encoder architecture of CLIP align distinct image and text modalities into a joint embedding space using symmetric cross-entropy loss optimizations?,CLIP;Dual-encoder framework;Joint embedding space;Symmetric contrastive loss;Multi-modal alignment,"clip,vlm,multimodal,embeddings"
SD020,TCS,Cloud Engineer,System Design,Easy,AWS,How would you design a scalable application using AWS services?,AWS;Auto Scaling;Load Balancer;Cloud Storage,"aws,cloud,scalability"
SD037,Apple,DevOps Engineer,System Design,Medium,Rate Limiting,How would you design rate limiting for payment APIs?,Rate Limiting;Throttling;Fairness;Scalability,"rate limiting,payment,api"
BH017,PwC,Data Scientist,Behavioral,Easy,Learning from Mistakes,Share a mistake you made and what you learned from it.,Learning from Mistakes;Growth Mindset;Resilience;Adaptability,"mistakes,growth,resilience"
AI018,KPMG,AI Engineer,AI/ML,Hard,Natural Language Processing,"Explain the architectural mechanics of Byte-Pair Encoding algorithms, and how they gracefully resolve out-of-vocabulary constraints in generative text modeling.",Byte-Pair Encoding;Tokenization;Subword Vocabulary;Out-of-Vocabulary;Text Tokenization,"nlp,tokenization,bpe,text processing"
HR005,Apple,Data Scientist,HR,Easy,Motivation,What motivates you to perform at your best?,Motivation;Career Goals;Professional Values;Resilience,"motivation,career,values"
HR019,Infosys,Data Engineer,HR,Medium,Failure,Tell me about a failure and how you handled it.,Failure;Resilience;Learning;Adaptability,"failure,resilience,learning"
AI060,HCLTech,Data Scientist,AI/ML,Easy,Active Learning,"Compare uncertainty sampling, query-by-committee, and expected model change strategies regarding computational overhead in deep active learning frameworks.",Active learning;Uncertainty sampling;Query-by-committee;Expected model change;Data labeling efficiency,"active learning,data labeling,sampling strategies"
AI064,Flipkart,AI Engineer,AI/ML,Medium,Multi-Task Learning,Explain the negative transfer phenomenon in multi-task learning networks and how gradient surgery techniques like GradNorm or PCGrad mathematically eliminate it.,Negative transfer;GradNorm;PCGrad;Gradient conflict;Task-specific loss scaling,"multi-task learning,gradnorm,pcgrad,gradient optimization"
HR007,NVIDIA,Data Engineer,HR,Medium,Why This Role,Why are you interested in this role specifically?,Role Fit;Motivation;Career Goals;Professional Values,"role fit,motivation,career"
SD018,KPMG,Backend Developer,System Design,Hard,High Availability,How would you design a system to ensure high availability during peak loads?,High Availability;Load Balancing;Replication;Failover,"high availability,scalability,replication"
BH035,Amazon,Product Manager,Behavioral,Easy,Leadership,Share an example of how you inspired your team to achieve a goal.,Leadership;Motivation;Teamwork;Communication,"leadership,inspiration,teamwork"
SD026,Flipkart,Backend Developer,System Design,Medium,Authentication,How would you design authentication for a large-scale application?,Authentication;OAuth;Token Management;Scalability,"authentication,security,scalability"
HR018,KPMG,Machine Learning Engineer,HR,Hard,Achievements,What professional achievement are you most proud of?,Achievements;Motivation;Career Growth;Professional Values,"achievements,career,motivation"
AI076,Netflix,Machine Learning Engineer,AI/ML,Medium,Energy-Based Models,Explain the concept of an energy function in Energy-Based Models (EBMs) and why contrastive divergence or MCMC sampling is needed to approximate the partition function.,Energy function;Partition function;Contrastive divergence;MCMC sampling;Unnormalized probability density,"ebm,energy based models,mcmc,generative models"
SD010,Salesforce,Backend Developer,System Design,Easy,API Design,What are the best practices for designing REST APIs?,REST APIs;Versioning;Rate Limiting;Authentication,"api design,rest,authentication"
HR023,Capgemini,Product Manager,HR,Easy,Professional Values,What professional values guide your work?,Professional Values;Ethics;Motivation;Career Goals,"values,ethics,career"
AI065,Swiggy,Data Scientist,AI/ML,Hard,Bayesian Deep Learning,How does Monte Carlo Dropout provide a variational approximation of a structural Bayesian Neural Network during inference evaluation cycles?,Monte Carlo Dropout;Bayesian Neural Network;Epistemic uncertainty;Variational inference;Predictive distribution,"bayesian deep learning,mc dropout,uncertainty estimation"
BH024,Cognizant,UI/UX Designer,Behavioral,Hard,Innovation,Describe a time when you designed a creative solution to improve user experience.,Innovation;Creativity;Customer Obsession;Problem Solving,"innovation,ux,creativity"
HR009,Oracle,DevOps Engineer,HR,Hard,Relocation,Are you open to relocation if required?,Relocation;Adaptability;Career Goals;Flexibility,"relocation,adaptability,career"
SD016,EY,Machine Learning Engineer,System Design,Medium,Monitoring,How would you design monitoring for ML pipelines?,Monitoring;Metrics;Logging;Alerting,"monitoring,ml,pipelines"
BH026,Flipkart,Backend Developer,Behavioral,Easy,Teamwork,Share an example of how you supported a teammate during a difficult project.,Teamwork;Empathy;Collaboration;Communication,"teamwork,empathy,collaboration"
AI068,PhonePe,Data Engineer,AI/ML,Hard,Hyperparameter Optimization,Explain the conceptual framework of Hyperband optimization and how it uses successive halving to outpace standard Bayesian Optimization routines.,Hyperband;Successive halving;Early stopping;Resource allocation;Bayesian optimization,"hyperparameter optimization,hyperband,automl"
BH033,Google,DevOps Engineer,Behavioral,Hard,Resilience,Describe a time when you overcame a major obstacle at work.,Resilience;Problem Solving;Adaptability;Persistence,"resilience,obstacle,persistence"
30,PhonePe,Software Engineer,Technical,Hard,Idempotency,How do you guarantee strict API idempotency across multiple asynchronous network retries for digital wallet transactions to prevent double-deduction faults?,Idempotency Keys;Unique Constraints;Distributed Transactions;At-most-once Delivery;API Design,"Fintech, Idempotency, API Design, Distributed Systems, Transaction Safety"
SD027,Swiggy,Full Stack Developer,System Design,Easy,Authorization,How would you design authorization for role-based access?,Authorization;RBAC;Policies;Scalability,"authorization,rbac,security"
BH030,PhonePe,Machine Learning Engineer,Behavioral,Hard,Decision Making,Describe a time when you made a decision that had significant impact.,Decision Making;Ownership;Accountability;Risk Management,"decision making,impact,ownership"
BH037,Apple,Software Engineer,Behavioral,Medium,Problem Solving,Explain how you solved a problem that had no clear solution.,Problem Solving;Innovation;Resilience;Ownership,"problem solving,innovation,resilience"
6,NVIDIA,Software Engineer,Technical,Hard,GPU Computing,"Explain the architectural difference between shared memory and global memory in a GPU block, and how bank conflicts impact kernel latency.",Shared memory;Global memory;Bank conflicts;CUDA architecture;Memory bandwidth,"CUDA, GPU, Memory Architecture, Bank Conflict, Parallel Computing"
BH007,NVIDIA,Data Engineer,Behavioral,Medium,Adaptability,Describe a time when you had to quickly adapt to a major change in project requirements.,Adaptability;Resilience;Flexibility;Problem Solving,"adaptability,resilience,flexibility"
HR037,Apple,Software Engineer,HR,Medium,Career Growth,How do you plan to grow in this role?,Career Growth;Learning;Motivation;Professional Values,"career growth,learning,motivation"
AI062,Cognizant,Generative AI Engineer,AI/ML,Hard,Neural Architecture Search,How do differentiable Neural Architecture Search (DARTS) frameworks continuous-relax the discrete sub-graph optimization problem to enable gradient-based search?,DARTS;Continuous relaxation;Supernet bi-level optimization;Gradient-based NAS;Search space,"nas,darts,automl,neural architecture search"
HR021,Wipro,DevOps Engineer,HR,Hard,Decision Making,Describe a difficult decision you had to make at work.,Decision Making;Ownership;Accountability;Professional Values,"decision making,ownership,accountability"
BH016,EY,Full Stack Developer,Behavioral,Medium,Accountability,Give an example of when you took responsibility for a mistake.,Accountability;Ownership;Ethics;Learning from Mistakes,"accountability,ownership,ethics"
SD041,Oracle,Software Engineer,System Design,Easy,Authorization,How would you design authorization for enterprise applications?,Authorization;RBAC;Policies;Scalability,"authorization,enterprise,rbac"
SD025,Tech Mahindra,Software Engineer,System Design,Hard,Rate Limiting,How would you design rate limiting for APIs?,Rate Limiting;Throttling;Fairness;Scalability,"rate limiting,api,scalability"
AI014,Accenture,Data Engineer,AI/ML,Medium,Feature Engineering,"How do target encoding transformations introduce subtle data leakage risks in cross-validation setups, and what specific smoothing methods counteract this problem?",Target Encoding;Data Leakage;Out-of-fold Encoding;Bayesian Smoothing;Cross-Validation,"feature engineering,target encoding,data leakage,machine learning"
SD049,PwC,Software Engineer,System Design,Medium,Caching,Explain how you would mitigate cache stampede and herd effects on hot keys in a global e-commerce system.,Cache Stampede;Mutex Locking;Probabilistic Early Expiration;Hot Keys;Background Refresh,"caching,performance,ecommerce"
32,Meesho,Data Analyst,Technical,Medium,User Cohort Analytics,How do you differentiate between retention drop-offs caused by seasonal purchasing variations versus deep-seated product usability friction using cohort behavioral metrics?,Cohort Analysis;Retention Curves;Seasonality Decomposition;Product Analytics;Churn Prediction,"Data Analyst, Cohort Analysis, User Retention, E-commerce, Analytics"
13,Cisco,Cybersecurity Analyst,Technical,Medium,Network Security,"Explain the operational mechanics of a Distributed Denial of Service (DDoS) Amplification Attack utilizing DNS or NTP protocols, and how to mitigate it.",Amplification Attack;DNS Reflection;IP Spoofing;Rate Limiting;Network Mitigation,"Cybersecurity, DDoS, DNS Amplification, Network Security, Mitigation"
36,Meta,Frontend Developer,Technical,Hard,Web Performance,How does server-side rendering (SSR) combined with incremental static regeneration (ISR) optimize Core Web Vitals like Largest Contentful Paint (LCP) and Cumulative Layout Shift (CLS)?,Server-side Rendering;Incremental Static Regeneration;Core Web Vitals;Largest Contentful Paint;Cumulative Layout Shift,"Frontend, Web Performance, Core Web Vitals, SSR, Next.js"
29,Paytm,Security Engineer,Technical,Hard,Payment Cryptography,Explain the architectural setup and protocols required to achieve PCI-DSS tokenization compliance for sensitive credit and debit card holder data within a financial system.,PCI-DSS compliance;Tokenization vault;Data encryption;HSM modules;Transport Layer Security,"Fintech, Security, Tokenization, PCI-DSS, Cryptography"
43,IBM,Cybersecurity Analyst,Technical,Hard,Cryptography,"How do public-key infrastructure (PKI) frameworks issue, validate, and revoke digital certificates to prevent Man-in-the-Middle (MitM) interceptions?",Public Key Infrastructure;Certificate Authority;Asymmetric Encryption;Certificate Revocation Lists;Digital Signatures,"Security, PKI, Cryptography, MitM, Certificates"
AI019,Infosys,Data Engineer,AI/ML,Easy,Deep Learning,"What structural elements cause vanishing gradients inside deeply stacked network topologies, and how do residual skip connections analytically repair the gradient flow paths?",Vanishing Gradient;Residual Connections;Gradient Highway;Identity Mapping;Backpropagation Matrix Multiplication,"deep learning,gradients,resnet,neural networks"
23,Capgemini,Cloud Engineer,Technical,Medium,Cloud Migration,Explain the design trade-offs between 'Lift and Shift' (Rehosting) and 'Refactoring' (Re-architecting) when migrating enterprise legacy backends to public clouds.,Cloud migration;Rehosting vs Refactoring;Technical debt;Cloud-native architecture;Total cost of ownership,"Cloud, Migration, Lift and Shift, Microservices, Architecture"
BH044,Intel,Cloud Engineer,Behavioral,Medium,Adaptability,Explain how you shifted your infrastructure migration plan mid-way due to sudden regulatory changes.,Adaptability;Resilience;Risk Management;Compliance,"infrastructure,migration,compliance"
AI013,Cisco,AI Engineer,AI/ML,Easy,Neural Networks,"Describe the operational mechanics of Layer Normalization versus Batch Normalization, and explain why Layer Normalization is preferred in sequential transformer token structures.",Layer Normalization;Batch Normalization;Internal Covariate Shift;Sequence Processing;Hidden Dimension Activation,"neural networks,normalization,transformers,deep learning"
SD002,Microsoft,Backend Developer,System Design,Medium,Caching,Explain how you would design a caching layer for a high-traffic API.,Caching;Eviction Policies;Latency Reduction;Data Freshness,"caching,api,performance"
BH002,Microsoft,Backend Developer,Behavioral,Medium,Ownership,Give an example of when you took ownership of a problem and resolved it successfully.,Ownership;Accountability;Problem Solving;Initiative,"ownership,problem solving,initiative"
BH046,Accenture,Business Analyst,Behavioral,Medium,Prioritization,Describe a situation where a client demanded out-of-scope features and how you prioritized the core product roadmap.,Prioritization;Scope Management;Negotiation;Client Management,"roadmap,negotiation,prioritization"
SD044,Intel,Cloud Engineer,System Design,Hard,Load Balancing,How would you design an edge load balancing layer to optimize traffic distribution across dynamic global regions?,Global Load Balancing;Anycast Routing;GeoDNS;Latency Mitigation;Dynamic Failover,"load balancing,global,networking"
HR050,KPMG,Backend Developer,HR,Hard,Ethics,How would you handle a situation where you discovered a critical but hidden privacy risk in a legacy data scheme?,Ethics;Integrity;Accountability;Risk Management;Ownership,"ethics,privacy,risk"
BH027,Swiggy,Frontend Developer,Behavioral,Hard,Conflict Resolution,Describe a time when you had to mediate a disagreement between team members.,Conflict Resolution;Negotiation;Empathy;Communication,"conflict resolution,mediation,communication"
42,Salesforce,Business Analyst,Technical,Easy,Data Mapping,How do you create an exhaustive data dictionary and entities relationship diagram (ERD) when aligning disparate legacy target data into a central CRM repository?,Entity Relationship Diagram;Data Dictionary;Data Mapping;Data Governance;Schema Alignment,"Business Analysis, ERD, CRM, Data Mapping, Requirements"
SD014,Accenture,Site Reliability Engineer,System Design,Medium,Kubernetes,How would you design a Kubernetes cluster for high availability?,Kubernetes;Cluster Management;Scaling;Fault Tolerance,"kubernetes,cluster,availability"
HR003,Amazon,Frontend Developer,HR,Hard,Strengths,What is your greatest strength and how has it helped you professionally?,Strengths;Self Awareness;Professional Values;Communication,"strengths,self awareness,professional"
BH029,Paytm,Data Scientist,Behavioral,Easy,Adaptability,Share an example of how you adapted to new technology quickly.,Adaptability;Learning;Growth Mindset;Resilience,"adaptability,learning,growth"
SD048,EY,Machine Learning Engineer,System Design,Hard,Storage Systems,How would you design a distributed storage engine optimized for low-latency retrieval of high-dimensional vector embeddings?,Vector Storage;Distributed Indexing;Memory Optimization;Horizontal Scaling;Partition Strategy,"storage,ml,embeddings"
27,Swiggy,System Architect,Technical,Hard,Geospatial Indexing,How do geospatial indexing systems like Uber's H3 or Google's S2 assist an on-demand delivery architecture in efficiently querying and matching drivers to orders in real-time?,Geospatial Indexing;H3 Hexagons;Spatial Queries;Real-time Dispatch;Proximity Search,"Geospatial, Architecture, H3, Real-time Systems, Matching Algorithm"
AI072,Microsoft,Generative AI Engineer,AI/ML,Easy,Robustness and Adversarial ML,Explain the optimization objective of the Projected Gradient Descent (PGD) adversarial attack methodology and how it forms a universal first-order adversary.,PGD attack;Adversarial perturbation;Fast Gradient Sign Method;Adversarial robustness;Inf-norm constraint,"adversarial ml,pgd,robustness,security"
HR015,Deloitte,Frontend Developer,HR,Hard,Leadership Potential,Describe a situation where you demonstrated leadership potential.,Leadership Potential;Decision Making;Teamwork;Motivation,"leadership,decision making,teamwork"
AI074,Meta,AI Engineer,AI/ML,Hard,Semi-Supervised Learning,Describe the operational mechanics of pseudo-labeling and consistency regularization paradigms in modern semi-supervised frameworks like MatchGrad or FixMatch.,FixMatch;Pseudo-labeling;Consistency regularization;Confidence thresholding;Weak vs strong augmentation,"semi-supervised,fixmatch,pseudo-labeling,ssl"
SD038,Netflix,Site Reliability Engineer,System Design,Easy,High Availability,How would you design high availability for video streaming services?,High Availability;Replication;Load Balancing;Failover,"high availability,video streaming,replication"
1,Google,AI Engineer,Technical,Hard,Transformer Architectures,"How does the self-attention mechanism scale with sequence length, and what specific optimization techniques like FlashAttention address its memory bottlenecks?",Self-attention complexity;Quadratic memory scaling;FlashAttention;Sparsity;Tiling,"Transformer, Attention, FlashAttention, IO Complexity, LLM"
3,Amazon,Data Engineer,Technical,Medium,Data Warehousing,"When designing a Redshift data warehouse, how do you choose between KEY, EVEN, and ALL distribution styles to minimize network shuffle during large cross-table joins?",Distribution keys;Data shuffling;Redshift architecture;Star schema;Query execution plans,"AWS Redshift, Data Modeling, Distribution Style, Query Optimization, ETL"
BH028,Zomato,Full Stack Developer,Behavioral,Medium,Customer Obsession,Explain how you ensured customer satisfaction in a project.,Customer Obsession;Accountability;Problem Solving;Communication,"customer obsession,satisfaction,accountability"
47,Deloitte,UI/UX Designer,Technical,Medium,User Research,How do you analyze heuristic evaluation outcomes and usability testing metrics to structure a data-informed user flow overhaul for complex financial ERPs?,Heuristic Evaluation;Usability Testing;User Flow Optimization;ERP System Usability;Quantitative User Metrics,"UI/UX, Heuristic Evaluation, Usability Testing, ERP, User Flow"
SD001,Google,Software Engineer,System Design,Easy,Load Balancing,How would you design a load balancer for a large-scale web application?,Load Balancer;Horizontal Scaling;Reverse Proxy;Health Checks,"load balancing,scalability,web"
