QuestionID,Company,Role,Perspective,Difficulty,Topic,Question,Expected_Concepts,Keywords
SD011,IBM,Full Stack Developer,System Design,Hard,CAP Theorem,Explain how CAP theorem impacts distributed database design.,CAP Theorem;Consistency;Availability;Partition Tolerance,"cap theorem,databases,distributed"
SD012,Intel,Cloud Engineer,System Design,Medium,Replication,How would you design replication for a global database?,Replication;Consistency Models;Latency;High Availability,"replication,databases,global"
SD013,Cisco,DevOps Engineer,System Design,Easy,Docker,How would you use Docker in designing scalable applications?,Docker;Containerization;Isolation;Portability,"docker,containers,scalability"
SD014,Accenture,Site Reliability Engineer,System Design,Medium,Kubernetes,How would you design a Kubernetes cluster for high availability?,Kubernetes;Cluster Management;Scaling;Fault Tolerance,"kubernetes,cluster,availability"
SD015,Deloitte,Data Engineer,System Design,Hard,Sharding,How would you design sharding for a large-scale database?,Sharding;Partitioning;Scalability;Consistency,"sharding,databases,scalability"
SD016,EY,Machine Learning Engineer,System Design,Medium,Monitoring,How would you design monitoring for ML pipelines?,Monitoring;Metrics;Logging;Alerting,"monitoring,ml,pipelines"
SD017,PwC,Software Engineer,System Design,Easy,Logging,What are the key considerations in designing a logging system?,Logging;Centralization;Scalability;Retention,"logging,system,scalability"
SD018,KPMG,Backend Developer,System Design,Hard,High Availability,How would you design a system to ensure high availability during peak loads?,High Availability;Load Balancing;Replication;Failover,"high availability,scalability,replication"
SD019,Infosys,Full Stack Developer,System Design,Medium,Disaster Recovery,How would you design disaster recovery for a cloud-based system?,Disaster Recovery;Backups;Replication;Failover,"disaster recovery,cloud,replication"
SD020,TCS,Cloud Engineer,System Design,Easy,AWS,How would you design a scalable application using AWS services?,AWS;Auto Scaling;Load Balancer;Cloud Storage,"aws,cloud,scalability"
SD021,Wipro,DevOps Engineer,System Design,Medium,Azure,How would you design a CI/CD pipeline using Azure DevOps?,Azure;CI/CD;Automation;Scalability,"azure,ci/cd,devops"
SD022,HCLTech,Site Reliability Engineer,System Design,Hard,GCP,How would you design a multi-region deployment on GCP?,GCP;Multi-Region;Load Balancing;Replication,"gcp,cloud,multi-region"
SD023,Capgemini,Data Engineer,System Design,Medium,Storage Systems,How would you design a scalable storage system for large datasets?,Storage Systems;Replication;Sharding;Consistency,"storage,scalability,datasets"
SD024,Cognizant,Machine Learning Engineer,System Design,Easy,Search Systems,How would you design a search system for e-commerce?,Search Systems;Indexing;Ranking;Scalability,"search,e-commerce,indexing"
SD025,Tech Mahindra,Software Engineer,System Design,Hard,Rate Limiting,How would you design rate limiting for APIs?,Rate Limiting;Throttling;Fairness;Scalability,"rate limiting,api,scalability"
SD026,Flipkart,Backend Developer,System Design,Medium,Authentication,How would you design authentication for a large-scale application?,Authentication;OAuth;Token Management;Scalability,"authentication,security,scalability"
SD027,Swiggy,Full Stack Developer,System Design,Easy,Authorization,How would you design authorization for role-based access?,Authorization;RBAC;Policies;Scalability,"authorization,rbac,security"
SD028,Zomato,Cloud Engineer,System Design,Hard,Consistency Models,Explain how you would design a system with eventual consistency.,Consistency Models;Eventual Consistency;Replication;Latency,"consistency,eventual,replication"
SD029,Paytm,DevOps Engineer,System Design,Medium,Kafka,How would you design a Kafka-based event streaming system?,Kafka;Message Queues;Scalability;Fault Tolerance,"kafka,streaming,events"
SD030,PhonePe,Site Reliability Engineer,System Design,Easy,RabbitMQ,How would you design a RabbitMQ-based messaging system?,RabbitMQ;Message Queues;Reliability;Scalability,"rabbitmq,messaging,queues"
SD031,Razorpay,Data Engineer,System Design,Hard,Cloud Architecture,How would you design a multi-cloud architecture for resilience?,Cloud Architecture;Multi-Cloud;Resilience;Scalability,"cloud,multi-cloud,resilience"
SD032,Meesho,Machine Learning Engineer,System Design,Medium,Streaming Systems,How would you design a streaming system for recommendation engines?,Streaming Systems;Low Latency;Scalability;Fault Tolerance,"streaming,recommendation,ml"
SD033,Google,Software Engineer,System Design,Hard,Sharding,How would you design sharding for a social media database?,Sharding;Partitioning;Scalability;Consistency,"sharding,social media,databases"
SD034,Microsoft,Backend Developer,System Design,Medium,Replication,How would you design replication for a financial transaction system?,Replication;Consistency;Latency;High Availability,"replication,finance,transactions"
SD035,Amazon,Full Stack Developer,System Design,Easy,Monitoring,How would you design monitoring for a microservices-based application?,Monitoring;Metrics;Logging;Alerting,"monitoring,microservices,logging"
SD036,Meta,Cloud Engineer,System Design,Hard,Disaster Recovery,How would you design disaster recovery for a global social network?,Disaster Recovery;Replication;Failover;Backups,"disaster recovery,social network,global"
SD037,Apple,DevOps Engineer,System Design,Medium,Rate Limiting,How would you design rate limiting for payment APIs?,Rate Limiting;Throttling;Fairness;Scalability,"rate limiting,payment,api"
SD038,Netflix,Site Reliability Engineer,System Design,Easy,High Availability,How would you design high availability for video streaming services?,High Availability;Replication;Load Balancing;Failover,"high availability,video streaming,replication"
SD039,NVIDIA,Data Engineer,System Design,Hard,Search Systems,How would you design a search system for scientific datasets?,Search Systems;Indexing;Ranking;Scalability,"search,datasets,scientific"
SD040,Adobe,Machine Learning Engineer,System Design,Medium,Authentication,How would you design authentication for ML model APIs?,Authentication;OAuth;Token Management;Scalability,"authentication,ml,api"
SD041,Oracle,Software Engineer,System Design,Easy,Authorization,How would you design authorization for enterprise applications?,Authorization;RBAC;Policies;Scalability,"authorization,enterprise,rbac"
SD042,Salesforce,Backend Developer,System Design,Hard,Consistency Models,How would you design strong consistency for CRM systems?,Consistency Models;Strong Consistency;Replication;Latency,"consistency,crm,strong"
SD043,IBM,Full Stack Developer,System Design,Medium,Cloud Architecture,How would you design cloud architecture for hybrid deployments?,Cloud Architecture;Hybrid Cloud;Scalability;Resilience,"cloud,hybrid cloud,scalability,resilience"
SD044,Intel,Cloud Engineer,System Design,Hard,Load Balancing,How would you design an edge load balancing layer to optimize traffic distribution across dynamic global regions?,Global Load Balancing;Anycast Routing;GeoDNS;Latency Mitigation;Dynamic Failover,"load balancing,global,networking"
SD045,Cisco,DevOps Engineer,System Design,Medium,Microservices,How would you design a resilient service discovery layer within an enterprise microservices network?,Service Discovery;Consul;Health Checking;Distributed Consensus;Client-Side Routing,"microservices,devops,networking"
SD046,Accenture,Site Reliability Engineer,System Design,Easy,API Design,What are the fundamental criteria for selecting an API gateway in a multi-tenant cloud environment?,API Gateway;Multi-Tenancy;Traffic Throttling;Request Routing;Reverse Proxy,"api design,gateway,cloud"
SD047,Deloitte,Data Engineer,System Design,Medium,Databases,How would you structure a data tier to handle both intensive operational transactions and analytical workloads simultaneously?,HTAP;Read Replicas;CQRS;Data Isolation;OLAP vs OLTP,"databases,data tier,analytics"
SD048,EY,Machine Learning Engineer,System Design,Hard,Storage Systems,How would you design a distributed storage engine optimized for low-latency retrieval of high-dimensional vector embeddings?,Vector Storage;Distributed Indexing;Memory Optimization;Horizontal Scaling;Partition Strategy,"storage,ml,embeddings"
SD049,PwC,Software Engineer,System Design,Medium,Caching,Explain how you would mitigate cache stampede and herd effects on hot keys in a global e-commerce system.,Cache Stampede;Mutex Locking;Probabilistic Early Expiration;Hot Keys;Background Refresh,"caching,performance,ecommerce"
SD050,KPMG,Backend Developer,System Design,Hard,Message Queues,How would you design an ordered message processing engine over a distributed broker topology when consumers scale dynamically?,Message Ordering;Partitioning;Consumer Groups;Distributed Coordination;Idempotency,"message queues,distributed systems,scalability"
